#,Place,Per capita income,Margin of error
35,"Lee, New Hampshire","$41,834","$3,486"
140,"Lempster, New Hampshire","$30,891","$4,559"
216,"Lincoln, New Hampshire","$24,109","$4,295"
219,"Lisbon, New Hampshire","$23,897","$2,251"
72,"Litchfield, New Hampshire","$37,456","$2,939"
206,"Littleton, New Hampshire","$25,300","$3,433"
56,"Londonderry, New Hampshire","$39,687","$1,879"
146,"Loudon, New Hampshire","$30,248","$3,524"
152,"Lyman, New Hampshire","$29,585","$4,390"
2,"Lyme, New Hampshire","$73,757","$10,371"
63,"Lyndeborough, New Hampshire","$38,665","$4,106"
49,"Madbury, New Hampshire","$40,236","$4,583"
103,"Madison, New Hampshire","$34,649","$6,357"
170,"Manchester, New Hampshire","$28,162",$833
147,"Marlborough, New Hampshire","$30,219","$3,752"
191,"Marlow, New Hampshire","$26,656","$3,421"
59,"Mason, New Hampshire","$39,366","$3,670"
81,"Meredith, New Hampshire","$36,510","$4,351"
55,"Merrimack, New Hampshire","$39,695","$1,891"
184,"Middleton, New Hampshire","$27,656","$3,409"
180,"Milan, New Hampshire","$27,753","$3,286"
122,"Milford, New Hampshire","$32,918","$1,753"
238,"Millsfield, New Hampshire","$15,529","$13,995"
112,"Milton, New Hampshire","$33,495","$13,302"
183,"Monroe, New Hampshire","$27,679","$2,667"
34,"Mont Vernon, New Hampshire","$41,839","$4,100"
6,"Moultonborough, New Hampshire","$59,355","$12,633"
117,"Nashua, New Hampshire","$33,100",$864
68,"Nelson, New Hampshire","$38,052","$5,677"
42,"New Boston, New Hampshire","$40,929","$3,238"
1,"New Castle, New Hampshire","$97,601","$27,918"
98,"New Durham, New Hampshire","$35,168","$3,520"
168,"New Hampton, New Hampshire","$28,267","$3,143"
96,"New Ipswich, New Hampshire","$35,210","$4,682"
99,"New London, New Hampshire","$35,090","$3,861"
27,"Newbury, New Hampshire","$43,783","$5,672"
9,"Newfields, New Hampshire","$52,945","$7,009"
22,"Newington, New Hampshire","$45,170","$6,545"
124,"Newmarket, New Hampshire","$32,633","$2,817"
199,"Newport, New Hampshire","$25,969","$2,504"
70,"Newton, New Hampshire","$37,765","$3,708"
3,"North Hampton, New Hampshire","$65,339","$12,113"
173,"Northfield, New Hampshire","$28,007","$2,382"
233,"Northumberland, New Hampshire","$19,457","$1,854"
109,"Northwood, New Hampshire","$33,735","$3,642"
64,"Nottingham, New Hampshire","$38,353","$3,295"
106,"Orange, New Hampshire","$33,822","$4,272"
